0.01;-0.02;-0.01
0.01;-0.01;-0.00
0.01;-0.02;-0.01
0.01;-0.01;-0.00
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.00;-0.02;-0.01
0.00;-0.02;0.01
-0.01;-0.03;0.03
-0.01;-0.02;0.06
-0.01;-0.02;0.09
-0.01;-0.02;0.10
-0.01;-0.02;0.10
-0.03;-0.03;0.10
-0.05;-0.04;0.11
-0.07;-0.04;0.12
-0.09;-0.03;0.13
-0.11;-0.03;0.14
-0.16;-0.03;0.14
-0.19;-0.03;0.14
-0.23;-0.03;0.14
-0.29;-0.01;0.14
-0.33;-0.01;0.14
-0.40;-0.00;0.15
-0.46;-0.01;0.15
-0.51;-0.02;0.16
-0.57;-0.03;0.15
-0.61;-0.02;0.16
-0.67;-0.03;0.15
-0.72;-0.03;0.16
-0.77;-0.03;0.15
-0.81;-0.03;0.15
-0.86;-0.03;0.14
-0.90;-0.03;0.13
-0.94;-0.03;0.13
-0.97;-0.04;0.13
-1.00;-0.05;0.13
-1.01;-0.06;0.13
-1.01;-0.09;0.13
-1.01;-0.13;0.13
-1.01;-0.16;0.13
-1.01;-0.21;0.13
-1.01;-0.25;0.13
-1.01;-0.29;0.14
-1.01;-0.34;0.15
-1.00;-0.38;0.15
-1.00;-0.43;0.15
-1.00;-0.48;0.16
-1.01;-0.54;0.17
-1.01;-0.60;0.18
-1.02;-0.66;0.18
-1.01;-0.71;0.19
-1.00;-0.76;0.19
-1.00;-0.81;0.19
-1.00;-0.85;0.19
-1.01;-0.90;0.18
-1.01;-0.95;0.18
-1.01;-1.00;0.18
-1.01;-1.05;0.18
-1.02;-1.10;0.18
-1.02;-1.15;0.18
-1.02;-1.20;0.18
-1.02;-1.24;0.19
-1.01;-1.29;0.18
-1.02;-1.34;0.17
-1.02;-1.38;0.17
-1.02;-1.43;0.18
-1.03;-1.48;0.17
-1.03;-1.53;0.16
-1.03;-1.58;0.16
-1.02;-1.63;0.15
-1.02;-1.69;0.16
-1.02;-1.74;0.15
-1.00;-1.79;0.15
-1.00;-1.84;0.15
-0.99;-1.89;0.15
-0.99;-1.93;0.15
-0.99;-1.97;0.14
-0.99;-2.00;0.13
-0.98;-2.02;0.13
-0.97;-2.03;0.13
-0.96;-2.03;0.13
-0.93;-2.03;0.14
-0.89;-2.04;0.14
-0.86;-2.03;0.14
-0.82;-2.03;0.16
-0.78;-2.03;0.17
-0.74;-2.03;0.17
-0.69;-2.01;0.18
-0.63;-2.01;0.18
-0.56;-2.01;0.18
-0.49;-2.01;0.18
-0.41;-2.04;0.22
-0.36;-1.96;0.08
-0.30;-2.17;0.45
-0.25;-2.09;0.28
-0.18;-1.95;0.01
-0.12;-1.92;-0.03
-0.08;-2.04;0.17
-0.05;-2.04;0.16
-0.03;-2.04;0.16
-0.01;-2.03;0.16
0.01;-2.01;0.16
0.02;-1.97;0.15
0.04;-1.88;0.07
0.03;-1.89;0.16
0.06;-1.71;-0.00
0.02;-1.82;0.24
0.04;-1.64;0.07
0.04;-1.63;0.12
0.03;-1.58;0.12
0.04;-1.51;0.10
0.04;-1.43;0.07
0.03;-1.46;0.18
0.03;-1.40;0.17
0.03;-1.34;0.16
0.01;-1.35;0.23
0.03;-1.22;0.15
0.03;-1.10;0.09
0.03;-1.05;0.10
0.02;-1.05;0.16
0.03;-0.94;0.10
0.01;-0.95;0.17
0.01;-0.89;0.17
0.00;-0.84;0.18
-0.00;-0.79;0.18
-0.01;-0.74;0.18
-0.00;-0.67;0.16
-0.00;-0.60;0.15
-0.01;-0.51;0.12
-0.00;-0.41;0.10
0.00;-0.31;0.08
0.01;-0.21;0.05
0.01;-0.13;0.04
0.01;-0.08;0.04
0.01;-0.05;0.02
0.01;-0.03;0.01
0.01;-0.02;0.01
0.02;-0.02;0.01
0.01;-0.02;0.01
0.01;-0.02;0.00
0.01;-0.02;0.00
0.01;-0.02;-0.00
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
0.01;-0.02;-0.01
